"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Affiliations","Authors with affiliations","Abstract","Language of Original Document"
"Lee G.-M.; Lee C.-W.; Roh B.-H.","Lee, Gyu-Min (56430193000); Lee, Cheol-Woong (56911245700); Roh, Byeong-Hee (7003919007)","56430193000; 56911245700; 7003919007","QoS Support Path Selection for Inter-Domain Flows Using Effective Delay and Directed Acyclic Graph in Multi-Domain SDN","2022","10.3390/electronics11142245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137302385&doi=10.3390%2felectronics11142245&partnerID=40&md5=0d6920a6dcf0e53ff77d7d70eb903d0a","Department of Computer Engineering, Ajou University, Suwon, 16499, South Korea; Department of AI Convergence Network, Ajou University, Suwon, 16499, South Korea","Lee G.-M., Department of Computer Engineering, Ajou University, Suwon, 16499, South Korea; Lee C.-W., Department of AI Convergence Network, Ajou University, Suwon, 16499, South Korea; Roh B.-H., Department of Computer Engineering, Ajou University, Suwon, 16499, South Korea, Department of AI Convergence Network, Ajou University, Suwon, 16499, South Korea","Currently, network applications, such as audio, video, and augmented reality, have different stringent service requirements. They require service provision through end-to-end connections via other networks with different operating environments or service conditions. Therefore, network operators require information on their own and other networks to provide end-to-end services traversing several networks while guaranteeing their quality of service (QoS) requirements. This study proposes an inter-domain flow decision method that satisfies QoS requirements using a directed acyclic graph (DAG) in multi-domain and hierarchical software defined networking (SDN) networks. There are multiple local networks with SDN controllers that are connected to the global SDN controller. The flow decision in the proposed method is based on the effective bandwidth theory of the martingale process. The effectiveness of the proposed method is demonstrated by comparing it with existing SDN-based path selection methods using the Riverbed Modeler (older, OPNET) and OpenDaylight SDN controllers. © 2022 by the authors.","English"
"Bayazeed A.; Khorzom K.; Aljnidi M.","Bayazeed, Adnan (57224929025); Khorzom, Khaldoun (57193360390); Aljnidi, Mohamad (15019234400)","57224929025; 57193360390; 15019234400","A survey of self-coordination in self-organizing network","2021","10.1016/j.comnet.2021.108222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108646734&doi=10.1016%2fj.comnet.2021.108222&partnerID=40&md5=ee52df107e8bab89be524747b3af5860","Higher Institute for Applied Sciences and Technology (HIAST)","Bayazeed A., Higher Institute for Applied Sciences and Technology (HIAST); Khorzom K., Higher Institute for Applied Sciences and Technology (HIAST); Aljnidi M., Higher Institute for Applied Sciences and Technology (HIAST)","Self-organizing network (SON) is a well-known approach to reduce the complexity and the cost of cellular network management. It aims at replacing the manual configuration and optimization with the functionalities of self-configuration, self-optimization and self-healing. Due to the important role of SON, the problem of conflicts between SON functions has been seriously considered over the last decade. In order to resolve this problem, 3GPP has introduced the functionality of self-coordination which is responsible for conflict avoidance and resolution. However, the conflict-free execution of SON functions remains a challenge as it requires the coordination mechanisms to address all potential interactions between SON functionalities, anticipate their impact on the network and evaluate their execution results. Self-coordination in SON is therefore considered as an open research field since it directly affects the performance of SON functionalities and as a result affects the network stability. In this paper, we provide a survey of SON conflicts and self-coordination methodologies that can be used for conflicts avoidance and resolution, and review the recent solutions to state-of-the-art, including papers in this research area. Finally, we point out major challenges and research issues to be addressed in the future. © 2021 Elsevier B.V.","English"
"Papadopoulos K.; Papadimitriou P.; Papagianni C.","Papadopoulos, Konstantinos (16025720800); Papadimitriou, Panagiotis (13411139900); Papagianni, Chrysa (55961331700)","16025720800; 13411139900; 55961331700","PFA-INT: Lightweight In-Band Network Telemetry with Per-Flow Aggregation","2021","10.1109/NFV-SDN53031.2021.9665016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125018294&doi=10.1109%2fNFV-SDN53031.2021.9665016&partnerID=40&md5=ffb86e26b58051935cd350e2ea0e4241","University of Macedonia, Greece; University of Amsterdam, Netherlands","Papadopoulos K., University of Macedonia, Greece; Papadimitriou P., University of Macedonia, Greece; Papagianni C., University of Amsterdam, Netherlands","In-band network telemetry (INT), empowered by programmable dataplanes such as P4, comprises a viable approach to network monitoring and telemetry analysis. However, P4's INT and other existing frameworks for INT yield a substantial transmission overhead, which grows linearly with the number of hops, as well as with the number of telemetry variables.In this respect, we present a lightweight INT framework that exercises per-flow aggregation (PFA), i.e., spreads the telemetry values across the packets of a flow. In order to enable the required switch coordination, without any centralized controller intervention, we utilize per-flow telemetry states, which are maintained within P4 switches. We further leverage on Bloom Filters in order to compress the state lookup tables within P4 switches. Our proposed INT framework, namely PFA-INT, encompasses all required functionality for the continuous tracing of telemetry values over the entire duration of flows. Our evaluation results indicate that PFA-INT yields high monitoring accuracy with a fixed transmission overhead. We also study potential implications on path tracing, when the BF collision rate is increased. Even in such conditions, the continuous tracing of monitoring values help alleviate such implications and correctly retrieve telemetry values.  © 2021 IEEE.","English"
"Yilma G.M.; Yousaf Z.F.; Sciancalepore V.; Costa-Perez X.","Yilma, Girma M. (57211814370); Yousaf, Zarrar F. (24438683700); Sciancalepore, Vincenzo (55822580000); Costa-Perez, Xavier (11939775200)","57211814370; 24438683700; 55822580000; 11939775200","Benchmarking open source NFV MANO systems: OSM and ONAP","2020","10.1016/j.comcom.2020.07.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088369614&doi=10.1016%2fj.comcom.2020.07.013&partnerID=40&md5=6254fb2c138b923f3a7ac7bcf8610e99","NEC Laboratories GmbH, Kurfürsten-Anlage 36, Heidelberg, 69115, Germany","Yilma G.M., NEC Laboratories GmbH, Kurfürsten-Anlage 36, Heidelberg, 69115, Germany; Yousaf Z.F., NEC Laboratories GmbH, Kurfürsten-Anlage 36, Heidelberg, 69115, Germany; Sciancalepore V., NEC Laboratories GmbH, Kurfürsten-Anlage 36, Heidelberg, 69115, Germany; Costa-Perez X., NEC Laboratories GmbH, Kurfürsten-Anlage 36, Heidelberg, 69115, Germany","With the increasing trend in softwarization and virtualization of network functions and systems, NFV management and orchestration (MANO) solutions are being developed to meet the agile and flexible management requirements of virtualized network services in the 5G era and beyond. In this regard, ETSI ISG NFV has specified a standard MANO system that is used as a reference by vendors as well as open-source MANO projects. These MANO systems are inherently very complex and have a direct impact on the overall performance of NFV systems. However, unlike traditional networking functions and systems, there are no well-defined test methods and KPIs based on which the performance of the NFV-MANO system can be tested, validated and benchmarked. Given the absence of formal MANO specific evaluation techniques based on which the performance and features of a MANO system can be quantified, and compared against, we introduce in this paper a formal benchmarking methodology and KPIs for MANO systems. For illustration purposes, we analyze and compare the performance of the two most popular open-source NFV MANO projects, namely ONAP and OSM, using a complex open-source virtual customer premises equipment (vCPE) VNF. Our results show the current features support, performance to be expected and gaps to be covered in future releases. © 2020","English"
"Okunaiya O.; Austin R.; Zhu S.Y.","Okunaiya, Olasupo (59216068900); Austin, Ron (55876960700); Zhu, Shao Ying (58575564900)","59216068900; 55876960700; 58575564900","ChatGPT-enabled Network Automation using API-based Prompts","2024","10.1109/NOMS59830.2024.10574943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198341591&doi=10.1109%2fNOMS59830.2024.10574943&partnerID=40&md5=0af741989e4d2f2b7b1a033919c2c98d","Birmingham City University, College of Computing, Birmingham, United Kingdom","Okunaiya O., Birmingham City University, College of Computing, Birmingham, United Kingdom; Austin R., Birmingham City University, College of Computing, Birmingham, United Kingdom; Zhu S.Y., Birmingham City University, College of Computing, Birmingham, United Kingdom","In the rapidly evolving world of network provisioning and management, the traditional approach to device configuration has proven to be error-prone and time-consuming, especially in large-scale deployments. The emergence of network automation has sought to address these challenges by leveraging software to perform tasks which were traditionally executed manually by network engineers. However, utilizing these tools requires technical expertise. This study explores the potential of using Large Language Models (LLMs), specifically ChatGPT, to generate Ansible Playbooks for automating network deployment tasks. The goal is to eliminate the need for network engineers to prepare automation scripts. An application named ""Bubbln""was developed to prompt ChatGPT through APIs and execute the ChatGPT-generated playbooks on a network of four Cisco routers. A systematic evaluation of this approach reveals impressive results including 99% accuracy, 100% reliability, a 62% improvement in efficiency compared to traditional approach and a 13.52% efficiency gain over manually prepared playbook approach. These results highlight ChatGPT as a promising tool to enhance existing network automation approaches. © 2024 IEEE.","English"
"Barbosa R.; Fonseca J.; Araújo M.; Corujo D.","Barbosa, Raul (8920858800); Fonseca, João (57226437982); Araújo, Marco (57923373300); Corujo, Daniel (23008345900)","8920858800; 57226437982; 57923373300; 23008345900","VINIA: Voice-Enabled Intent-Based Networking for Industrial Automation","2024","10.2298/CSIS230213002B","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185661118&doi=10.2298%2fCSIS230213002B&partnerID=40&md5=9097cf1935afa051b2cf8e29d6bf21ff","Capgemini Engineering, Porto, Portugal; Universidade de Aveiro and Instituto de Telecomunicações, Aveiro, Portugal","Barbosa R., Capgemini Engineering, Porto, Portugal, Universidade de Aveiro and Instituto de Telecomunicações, Aveiro, Portugal; Fonseca J., Capgemini Engineering, Porto, Portugal, Universidade de Aveiro and Instituto de Telecomunicações, Aveiro, Portugal; Araújo M., Capgemini Engineering, Porto, Portugal; Corujo D., Universidade de Aveiro and Instituto de Telecomunicações, Aveiro, Portugal","Intent Based Networking (IBN) is a promising approach for automating and managing large and complex networks. Integrating Voice-enabled Virtual Assistants (VVAs) with IBN and Software Defined Networking (SDN) has improved network management efficiency and flexibility. However, there is still room for optimization improvement in installing intents in industrial scenarios. Network Orchestration Automation plays an important role within the Beyond 5G and 6G Networks, considering existing practices for orchestrating 5G Network Functions. This work presents an extended preliminary architecture for a voice-enabled IBN system called VINIA for industrial network automation. The new approach allows the configuration of more network assets (e.g., 5G networks), leveraging Network Orchestrators and Network Slice Managers, thus improving the system’s capabilities. The results provide insights into this solution’s potential benefits and limitations to enhance the automation of industrial networks’ management and orchestration procedures. © 2024, ComSIS Consortium. All rights reserved.","English"
"Barakabitze A.A.; Mkwawa I.-H.; Hines A.; Walshe R.","Barakabitze, Alcardo Alex (56826013000); Mkwawa, Is-Haka (27867988900); Hines, Andrew (35179621200); Walshe, Ray (16033597800)","56826013000; 27867988900; 35179621200; 16033597800","QoE-Aware Dynamic Resource Management in Future Softwarized and Virtualized Networks","2023","10.1109/ACCESS.2023.3309599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169703256&doi=10.1109%2fACCESS.2023.3309599&partnerID=40&md5=6a36af6b6f5e2724a9123f811345b5df","University College Dublin, School of Computer Science, Dublin, D04 V1W8, 4, Ireland; University of Plymouth, School of Engineering, Computing and Mathematics, Plymouth, PL4 8AA, United Kingdom; Dublin City University, School of Computing, Dublin, D09 V209, 9, Ireland","Barakabitze A.A., University College Dublin, School of Computer Science, Dublin, D04 V1W8, 4, Ireland; Mkwawa I.-H., University of Plymouth, School of Engineering, Computing and Mathematics, Plymouth, PL4 8AA, United Kingdom; Hines A., University College Dublin, School of Computer Science, Dublin, D04 V1W8, 4, Ireland; Walshe R., Dublin City University, School of Computing, Dublin, D09 V209, 9, Ireland","With the advent of multimedia streaming services such as 4K/8K and extended reality, managing and optimizing multimedia service delivery to end-users remains a challenge for mobile network operators, Internet service providers, and over-the-top (OTT) providers. To solve the present concerns and challenges associated with multimedia traffic management and quality of experience (QoE) in next-generation networks, new network and service management approaches for multimedia services are required. Network softwarization and virtualization paradigms that leverage software defined networking (SDN) and network function virtualization (NFV) are considered as key technologies for network and service management in future softwarized networks. This paper adopts SDN control logic to implement a dynamic QoE-aware resource management approach in future softwarized and virtualized networks. We propose QoESoft, a QoE-aware network softwarization approach for multimedia streaming services that (a) performs a dynamic link and switch resources management, and (b) improves end-user' QoE in softwarized systems. We introduce two important components, the QoE-sdnFlow monitor and QoE-sdnFlow manager as an extension to the SDN controller to monitor and manage the overall utilization of resources of mapped virtual links and nodes. We present a practical implementation of the QoESoft approach using a dash.js reference player where the bitrate decision adaptation logic and video segment download process are modified by introducing two components: the BandwidthPredictor and the Reporting functions. The BandwidthPredictor component ensures that the video bitrate is selected based on the available resources on the client's side in a dynamic manner. The Reporting module provides the current streaming status of the dash.js player (e.g., stall duration, bitrate switching, startup delay, and video QoE). In addition, we present the initial evaluations of virtual network survivability and an economical analysis that maximizes the profit for OTTs/ISPs by providing better QoE to customers. The performance of the proposed approach is analyzed through extensive experiments using a Laboratory for Image and Video Engineering - Amazon Prime Video (LIVE-APV) Streaming Database running over the developed softwarized - DASH- based platform based on the Mininet and POX controller. Preliminary results indicate that QoESoft outperforms the baseline approach in terms of link resources utilization and switch resources utilization, low-live latency, startup delays, bitrate switching, stall duration and video QoE. © 2013 IEEE.","English"
"Dabaghi-Zarandi F.","Dabaghi-Zarandi, Fahimeh (57193380981)","57193380981","Local Traffic-aware Green Algorithm based on Sleep-scheduling in autonomous networks","2022","10.1016/j.simpat.2021.102418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117581643&doi=10.1016%2fj.simpat.2021.102418&partnerID=40&md5=b7b230e9d5ef398d79b5dc58c001e972","Computer Engineering Department, Vali-e-Asr University of Rafsanjan, Rafsanjan, Iran","Dabaghi-Zarandi F., Computer Engineering Department, Vali-e-Asr University of Rafsanjan, Rafsanjan, Iran","Over recent years, green communication has been investigated to reduce the economic costs and environmental pollution caused by network infrastructures. There exist many approaches to conserve energy in autonomous networks while according to over-provisioning of networking resources for peak traffic periods, sleep-scheduling based approach is one of effective methods between them. In this regards, in this paper, a new Local Traffic-aware Green Algorithm based on Sleep-scheduling (LTGAS) is proposed in autonomous wired networks in order to reduce energy consumption during low traffic periods. This proposal is a dynamic solution that considers online and local traffic knowledge to switch off some underutilized network nodes and links during low traffic periods and re-switch on some sleep devices in congestion situations. In addition, LTGAS is executed in fully distributed mode without any centralized controller and uses only information provided by link-state protocols like OSPF. Moreover, this solution does not have to gather global traffic knowledge of network during a sleep-scheduling decision, resulting in low complexity and low network overhead. The results obtained by the real network scenario show that LTGAS switches off up to 38% of network nodes and up to 96% of the maximum number of switchable links during low traffic periods. In addition, LTGAS has a low effect on network performance metrics, including end-to-end delay, packet delivery ratio and average link utilization, compared with similar proposals while switches off more number of network devices rather than other approaches. © 2021 Elsevier B.V.","English"
"Kahani N.; Bagherzadeh M.; Ahmadi R.; Dingel J.","Kahani, Nafiseh (56017916900); Bagherzadeh, Mojtaba (59334985100); Ahmadi, Reza (57194281904); Dingel, Juergen (6603459509)","56017916900; 59334985100; 57194281904; 6603459509","Leveraging modeling concepts and techniques to address challenges in network management","2023","10.1109/MODELS58315.2023.00021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182319256&doi=10.1109%2fMODELS58315.2023.00021&partnerID=40&md5=4c05438009938b9f9e37a25adbec9ab5","Carleton University, Ottawa, Canada; Cisco Systems, Ottawa, Canada; Ecole de Technologie Superieure (ETS), Montreal, Canada; Queen's University, Kingston, Canada","Kahani N., Carleton University, Ottawa, Canada; Bagherzadeh M., Cisco Systems, Ottawa, Canada; Ahmadi R., Ecole de Technologie Superieure (ETS), Montreal, Canada; Dingel J., Queen's University, Kingston, Canada","Managing a large enterprise network is a challenging task that involves configuring and monitoring a large number of networking devices from different vendors. To simplify network management, modeling techniques have been extensively applied to model network configurations and monitoring data. The most recent proposed solution in this context are OpenConfig models, which enable vendor-neutral automation. However, adopting networking models requires significant effort and cooperation from various stakeholders.The focus of this paper is to explore the challenges associated with adopting networking models, specifically OpenConfig models, from three primary viewpoints: network engineers, internet service/content providers, and networking software/hardware vendors. We also discuss possible solutions via application of software modeling techniques to aid in the successful adoption of networking models.  © 2023 IEEE.","English"
"Mwanje S.S.; Kajo M.; Majumdar S.; Carle G.","Mwanje, Stephen S. (55532732200); Kajo, Marton (57193013660); Majumdar, Sayantini (57217211230); Carle, Georg (11441022800)","55532732200; 57193013660; 57217211230; 11441022800","Environment Modeling and Abstraction of Network States for Cognitive Functions","2020","10.1109/NOMS47738.2020.9110333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086761182&doi=10.1109%2fNOMS47738.2020.9110333&partnerID=40&md5=4c80cfb138b29ff316d9a155c027d89a","Nokia Bell Labs, Germany; Technical University of Munich, Department of Informatics, Germany; Technical University of Munich, Department of Electrical and Computer Engineering, Germany","Mwanje S.S., Nokia Bell Labs, Germany; Kajo M., Technical University of Munich, Department of Informatics, Germany; Majumdar S., Technical University of Munich, Department of Electrical and Computer Engineering, Germany; Carle G., Technical University of Munich, Department of Informatics, Germany","Cognitive Autonomous Networks (CANs) promise to overcome the shortcomings of current Self-Organizing Network (SON) implementations, i.e., the limited flexibility and adaptability to changing environments, by applying cognition. In CAN, intelligent network automation functions, herein called Cognitive Functions (CFs), apply machine learning techniques to learn context-specific behavioral policies with which to automate network operations. For proper operation, the CAN system needs to learn the environment in which the functions are operating and to abstract the environment and performance observations into states to which the CFs must respond. This paper proposes a design and implementation of an Environmental-state Modeling and Abstraction (EMA) engine that could be tasked to learn the required abstract states in a consistent way across multiple CFs. © 2020 IEEE.","English"
"De La Fuente J.F.; Recondo A.P.; Wong L.; Harvey P.","De La Fuente, Jaime Fúster (58485673900); Recondo, Álvaro Pendás (58486535300); Wong, Leon (58585919000); Harvey, Paul (57219686747)","58485673900; 58486535300; 58585919000; 57219686747","Enabling Auditable Trust in Autonomous Networks with Ethereum and IPFS","2023","10.1109/NOMS56928.2023.10154327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164678034&doi=10.1109%2fNOMS56928.2023.10154327&partnerID=40&md5=f035b21f2bff3609d1d374ffe488c639","Rakuten Mobile, Tokyo, Japan; University of Oviedo, Gijón, Spain; University of Glasgow, Glasgow, United Kingdom","De La Fuente J.F., Rakuten Mobile, Tokyo, Japan; Recondo A.P., University of Oviedo, Gijón, Spain; Wong L., Rakuten Mobile, Tokyo, Japan; Harvey P., University of Glasgow, Glasgow, United Kingdom","Operation and management of telecommunication networks are increasingly difficult with the demands and behaviors of users exceeding the capacity of network engineers to keep pace. This has led to increased automation of the network, enabled by various forms of intelligent software. One such proposal from the ITU-T Focus Group on Autonomous Networks (standardization group) is an architecture to achieve self-driven automation (i.e. autonomy) of network operation, whereby technology from different operators and third parties is self-assembled and deployed in production networks. This raises questions and challenges regarding transparency, auditability, and trust while maintaining interoperability.This work presents an initial study of a distributed and decentralized marketplace to bring transparent and auditable trust to the proposed architecture without sacrificing interoperable functionality. We demonstrated this by our proof of concept implementation of both the proposed architecture and marketplace based on the combination of Ethereum and IPFS. © 2023 IEEE.","English"
"Liyanage M.; Pham Q.-V.; Dev K.; Bhattacharya S.; Maddikunta P.K.R.; Gadekallu T.R.; Yenduri G.","Liyanage, Madhusanka (55481055000); Pham, Quoc-Viet (56884048100); Dev, Kapal (57190336390); Bhattacharya, Sweta (55808089600); Maddikunta, Praveen Kumar Reddy (57219858463); Gadekallu, Thippa Reddy (57217062630); Yenduri, Gokul (57223040078)","55481055000; 56884048100; 57190336390; 55808089600; 57219858463; 57217062630; 57223040078","A survey on Zero touch network and Service Management (ZSM) for 5G and beyond networks","2022","10.1016/j.jnca.2022.103362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129476978&doi=10.1016%2fj.jnca.2022.103362&partnerID=40&md5=844756b0dfaa6876f90f40e17aa0dc14","School of Computer Science, University Collage Dublin, Ireland and Centre for Wireless Communications, University of Oulu, Finland; Korean Southeast Center for the 4th Industrial Revolution Leader Education, Pusan National University, Busan, South Korea; Department of Institute of Intelligent Systems, University of Johannesburg, South Africa; School of Information Technology, Vellore Institute of Technology, Vellore, India","Liyanage M., School of Computer Science, University Collage Dublin, Ireland and Centre for Wireless Communications, University of Oulu, Finland; Pham Q.-V., Korean Southeast Center for the 4th Industrial Revolution Leader Education, Pusan National University, Busan, South Korea; Dev K., Department of Institute of Intelligent Systems, University of Johannesburg, South Africa; Bhattacharya S., School of Information Technology, Vellore Institute of Technology, Vellore, India; Maddikunta P.K.R., School of Information Technology, Vellore Institute of Technology, Vellore, India; Gadekallu T.R., School of Information Technology, Vellore Institute of Technology, Vellore, India; Yenduri G., School of Information Technology, Vellore Institute of Technology, Vellore, India","Faced with the rapid increase in smart Internet-of-Things (IoT) devices and the high demand for new business-oriented services in the fifth-generation (5G) and beyond network, the management of mobile networks is getting complex. Thus, traditional Network Management and Orchestration (MANO) approaches cannot keep up with rapidly evolving application requirements. This challenge has motivated the adoption of the Zero-touch network and Service Management (ZSM) concept to adapt the automation into network services management. By automating network and service management, ZSM offers efficiency to control network resources and enhance network performance visibility. The ultimate target of the ZSM concept is to enable an autonomous network system capable of self-configuration, self-monitoring, self-healing, and self-optimization based on service-level policies and rules without human intervention. Thus, the paper focuses on conducting a comprehensive survey of E2E ZSM architecture and solutions for 5G and beyond networks. The article begins by presenting the fundamental ZSM architecture and its essential components and interfaces. Then, a comprehensive review of the state-of-the-art for key technical areas, i.e., ZSM automation, cross-domain E2E service lifecycle management, and security aspects, are presented. Furthermore, the paper contains a summary of recent standardization efforts and research projects towards the ZSM realization in 5G and beyond networks. Finally, several lessons learned from the literature and open research problems related to ZSM realization are also discussed in this paper. © 2022 The Author(s)","English"
"Schlette D.; Caselli M.; Pernul G.","Schlette, Daniel (57215594945); Caselli, Marco (57198076213); Pernul, Gunther (6604039051)","57215594945; 57198076213; 6604039051","A Comparative Study on Cyber Threat Intelligence: The Security Incident Response Perspective","2021","10.1109/COMST.2021.3117338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119583436&doi=10.1109%2fCOMST.2021.3117338&partnerID=40&md5=4e2cc83e2d1c9c0377eddb7f7dc44d8e","Chair of Information Systems, University of Regensburg, Regensburg, Germany; Department of Cybersecurity Technology, Siemens, AG, Munich, Germany","Schlette D., Chair of Information Systems, University of Regensburg, Regensburg, Germany; Caselli M., Department of Cybersecurity Technology, Siemens, AG, Munich, Germany; Pernul G., Chair of Information Systems, University of Regensburg, Regensburg, Germany","Cyber Threat Intelligence (CTI) is threat information intended for security purposes. However, use for incident response demands standardization. This study examines the broader security incident response perspective. Introducing 18 core concepts, we assist efforts to establish and assess current standardization approaches. We further provide the reader with a detailed analysis of 6 incident response formats. While we synthesize structural elements, we point to characteristics and show format deficiencies. Also, we describe how core concepts can be used to determine a suitable format for a given use case. Our surveys' findings indicate a consistent focus on incident response actions within all formats. Besides, playbooks are used to represent procedures. Different use cases suggest that organizations can leverage and combine multiple formats. Finally, we discuss open research challenges to fully realize incident response potentials.  © 2021 IEEE.","English"
"Askri A.; Hadj-Kacem I.; Jemaa S.B.; Mokrani K.","Askri, Aymen (57204115476); Hadj-Kacem, Imed (35203319900); Jemaa, Sana Ben (16175202400); Mokrani, Kahina (58562598700)","57204115476; 35203319900; 16175202400; 58562598700","Deep learning based context classification for cognitive network management","2023","10.1109/VTC2023-Spring57618.2023.10199317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169839587&doi=10.1109%2fVTC2023-Spring57618.2023.10199317&partnerID=40&md5=c4129332c1f8cf1ab9ef2fcb44b4f8d5","Orange Labs, France","Askri A., Orange Labs, France; Hadj-Kacem I., Orange Labs, France; Jemaa S.B., Orange Labs, France; Mokrani K., Orange Labs, France","Self-Organizing Network (SON) is a crucial technology characterizing the behaviour of future mobile networks. Complex cellular networks' deployment, operation and maintenance are managed autonomously by multiple SON functions (SFs) with dedicated objectives. Designing appropriate configurations of SON is challenging as it requires comprehensive modelling of all their interactions. Previous works addressed this point and proposed cognitive management solutions to learn the optimal SON configurations through direct communication with the network. Some of these works have overcome SON's shortcomings, such as limited flexibility and adaptability to changing environments. This paper discusses a context-specific policy that uses machine learning (ML) to learn the network environment. This way, the cognitive management solution finds the convenient SON configuration for each network context that is identified with a higher value of automation.  © 2023 IEEE.","English"
"Azariah W.; Bimo F.A.; Lin C.-W.; Cheng R.-G.; Nikaein N.; Jana R.","Azariah, Wilfrid (57858264400); Bimo, Fransiscus Asisi (57857196300); Lin, Chih-Wei (57858264500); Cheng, Ray-Guang (8694536300); Nikaein, Navid (12139968700); Jana, Rittwik (7006870644)","57858264400; 57857196300; 57858264500; 8694536300; 12139968700; 7006870644","A Survey on Open Radio Access Networks: Challenges, Research Directions, and Open Source Approaches","2024","10.3390/s24031038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184663144&doi=10.3390%2fs24031038&partnerID=40&md5=9c0a377b0f12a35fcfd5776013073443","Department of Electronic and Computer Engineering, National Taiwan University of Science and Technology, No. 43, Section 4, Keelung Rd, Da’an, District, Taipei City, 106335, Taiwan; Department of Communication Systems, EURECOM, Campus SophiaTech, 450 Route des Chappes, Biot, 06410, France; Google LLC, 1600 Amphitheatre Parkway, Mountain View, 94043, CA, United States","Azariah W., Department of Electronic and Computer Engineering, National Taiwan University of Science and Technology, No. 43, Section 4, Keelung Rd, Da’an, District, Taipei City, 106335, Taiwan; Bimo F.A., Department of Electronic and Computer Engineering, National Taiwan University of Science and Technology, No. 43, Section 4, Keelung Rd, Da’an, District, Taipei City, 106335, Taiwan; Lin C.-W., Department of Electronic and Computer Engineering, National Taiwan University of Science and Technology, No. 43, Section 4, Keelung Rd, Da’an, District, Taipei City, 106335, Taiwan; Cheng R.-G., Department of Electronic and Computer Engineering, National Taiwan University of Science and Technology, No. 43, Section 4, Keelung Rd, Da’an, District, Taipei City, 106335, Taiwan; Nikaein N., Department of Communication Systems, EURECOM, Campus SophiaTech, 450 Route des Chappes, Biot, 06410, France; Jana R., Google LLC, 1600 Amphitheatre Parkway, Mountain View, 94043, CA, United States","The open radio access network (RAN) aims to bring openness and intelligence to the traditional closed and proprietary RAN technology and offer flexibility, performance improvement, and cost-efficiency in the RAN’s deployment and operation. This paper provides a comprehensive survey of the Open RAN development. We briefly summarize the RAN evolution history and the state-of-the-art technologies applied to Open RAN. The Open RAN-related projects, activities, and standardization is then discussed. We then summarize the challenges and future research directions required to support the Open RAN. Finally, we discuss some solutions to tackle these issues from the open source perspective. © 2024 by the authors.","English"
